,model,price,state
250,Samsung Galaxy S4 i9515 Branco,409.0,Bom
251,Samsung Galaxy S8 Plus 64GB Preto,2249.0,Excelente
252,Samsung Galaxy S8 Plus 64GB Preto,2129.0,Muito Bom
253,Samsung Galaxy S8 Plus 64GB Preto,2009.0,Bom
254,Samsung Galaxy S7 Edge 32GB Dourado,1479.0,Excelente
255,Samsung Galaxy S7 Edge 32GB Dourado,1379.0,Muito Bom
256,Samsung Galaxy S7 Edge 32GB Dourado,1289.0,Bom
257,Samsung Galaxy S5 New Edition Duos Prata,584.0,Excelente
258,Samsung Galaxy S5 New Edition Duos Prata,599.0,Muito Bom
259,Samsung Galaxy S5 New Edition Duos Prata,569.0,Bom
260,Samsung Galaxy S8 Prata,2099.0,Excelente
261,Samsung Galaxy S8 Prata,1989.0,Muito Bom
262,Samsung Galaxy S8 Prata,1889.0,Bom
263,Samsung Galaxy S8 Prata,2099.0,Excelente
264,Samsung Galaxy S8 Prata,1989.0,Muito Bom
265,Samsung Galaxy S8 Prata,1889.0,Bom
266,Samsung Galaxy E7 Preto,609.0,Excelente
267,Samsung Galaxy E7 Preto,519.0,Muito Bom
268,Samsung Galaxy E7 Preto,564.0,Bom
269,Samsung Galaxy E7 Preto,609.0,Excelente
270,Samsung Galaxy E7 Preto,519.0,Muito Bom
271,Samsung Galaxy E7 Preto,564.0,Bom
272,Samsung Galaxy A5 2017 Dourado,899.0,Excelente
273,Samsung Galaxy A5 2017 Dourado,789.0,Muito Bom
274,Samsung Galaxy A5 2017 Dourado,844.0,Bom
275,Samsung Galaxy J5 2016 Metal Dourado,559.0,Excelente
276,Samsung Galaxy J5 2016 Metal Dourado,529.0,Muito Bom
277,Samsung Galaxy J5 2016 Metal Dourado,499.0,Bom
278,Samsung Galaxy J5 16GB Dourado,489.0,Excelente
279,Samsung Galaxy J5 16GB Dourado,449.0,Muito Bom
280,Samsung Galaxy J5 16GB Dourado,399.0,Bom
281,Samsung Galaxy J7 Branco,569.0,Excelente
282,Samsung Galaxy J7 Branco,529.0,Muito Bom
283,Samsung Galaxy J7 Branco,499.0,Bom
284,Samsung Galaxy S9 128GB Ultravioleta,3169.0,Excelente
285,Samsung Galaxy S9 128GB Ultravioleta,3169.0,Muito Bom
286,Samsung Galaxy S9 128GB Ultravioleta,3169.0,Bom
287,Samsung Galaxy S9 128GB Ultravioleta,3169.0,Bom - Sem Touch ID
288,Samsung Galaxy S9 128GB Ultravioleta,3169.0,Novo
289,Samsung Galaxy Note 5 Prata,1339.0,Excelente
290,Samsung Galaxy Note 5 Prata,1219.0,Muito Bom
291,Samsung Galaxy Note 5 Prata,1059.0,Bom
292,Samsung Galaxy Note 5 Prata,1339.0,Bom - Sem Touch ID
293,Samsung Galaxy S8 Plus 128GB Preto,2569.0,Excelente
294,Samsung Galaxy S8 Plus 128GB Preto,2569.0,Muito Bom
295,Samsung Galaxy S8 Plus 128GB Preto,2569.0,Bom
296,Samsung Galaxy J5 2016 Metal Branco,559.0,Excelente
297,Samsung Galaxy J5 2016 Metal Branco,529.0,Muito Bom
298,Samsung Galaxy J5 2016 Metal Branco,499.0,Bom
299,Samsung Galaxy S9 Plus 128GB Preto,3519.0,Excelente
300,Samsung Galaxy S9 Plus 128GB Preto,3519.0,Muito Bom
301,Samsung Galaxy S9 Plus 128GB Preto,3519.0,Bom
302,Samsung Galaxy S9 Plus 128GB Preto,3519.0,Bom - Sem Touch ID
303,Samsung Galaxy S9 Plus 128GB Preto,3519.0,Novo
304,Samsung Galaxy Note 5 Preto,1339.0,Excelente
305,Samsung Galaxy Note 5 Preto,1219.0,Muito Bom
306,Samsung Galaxy Note 5 Preto,1059.0,Bom
307,Samsung Galaxy Note 5 Preto,1339.0,Bom - Sem Touch ID
308,Samsung Galaxy Note 4 Branco,989.0,Excelente
309,Samsung Galaxy Note 4 Branco,769.0,Muito Bom
310,Samsung Galaxy Note 4 Branco,709.0,Bom
311,Samsung Galaxy S9 Plus 128GB Cinza,3519.0,Excelente
312,Samsung Galaxy S9 Plus 128GB Cinza,3349.0,Muito Bom
313,Samsung Galaxy S9 Plus 128GB Cinza,3189.0,Bom
314,Samsung Galaxy S9 Plus 128GB Cinza,3352.33,Bom - Sem Touch ID
315,Samsung Galaxy S9 Plus 128GB Cinza,3352.33,Novo
316,Samsung Galaxy S4 Mini Duos Preto,289.0,Excelente
317,Samsung Galaxy S4 Mini Duos Preto,289.0,Muito Bom
318,Samsung Galaxy S4 Mini Duos Preto,289.0,Bom
319,Samsung Galaxy A3 2016 Preto,484.0,Excelente
320,Samsung Galaxy A3 2016 Preto,509.0,Muito Bom
321,Samsung Galaxy A3 2016 Preto,459.0,Bom
322,Samsung Galaxy S5 New Edition Preto,,Excelente
323,Samsung Galaxy S5 New Edition Preto,,Muito Bom
324,Samsung Galaxy S5 New Edition Preto,,Bom
325,Samsung Galaxy J1 Mini Dourado,,Excelente
326,Samsung Galaxy J1 Mini Dourado,,Muito Bom
327,Samsung Galaxy J1 Mini Dourado,,Bom
328,Samsung Galaxy S9 128GB Preto,,Excelente
329,Samsung Galaxy S9 128GB Preto,,Muito Bom
330,Samsung Galaxy S9 128GB Preto,,Bom
331,Samsung Galaxy S9 128GB Preto,,Bom - Sem Touch ID
332,Samsung Galaxy S9 128GB Preto,,Novo
333,Samsung Galaxy A7 2017 Dourado,999.0,Excelente
334,Samsung Galaxy A7 2017 Dourado,999.0,Muito Bom
335,Samsung Galaxy A7 2017 Dourado,999.0,Bom
336,Samsung Galaxy A7 2017 Dourado,999.0,Novo
337,Samsung Galaxy J2 Prime TV Preto,369.0,Excelente
338,Samsung Galaxy J2 Prime TV Preto,369.0,Muito Bom
339,Samsung Galaxy J2 Prime TV Preto,369.0,Bom
340,Samsung Galaxy A7 2016 Rosa,654.0,Excelente
341,Samsung Galaxy A7 2016 Rosa,679.0,Muito Bom
342,Samsung Galaxy A7 2016 Rosa,629.0,Bom
343,Samsung Galaxy J5 8GB Dourado,449.0,Excelente
344,Samsung Galaxy J5 8GB Dourado,409.0,Muito Bom
345,Samsung Galaxy J5 8GB Dourado,429.0,Bom
346,Samsung Galaxy S5 New Edition Duos Dourado,584.0,Excelente
347,Samsung Galaxy S5 New Edition Duos Dourado,599.0,Muito Bom
348,Samsung Galaxy S5 New Edition Duos Dourado,569.0,Bom
349,Samsung Gear Fit 2 Grande Preto,489.0,Excelente
350,Samsung Gear Fit 2 Grande Preto,489.0,Muito Bom
351,Samsung Gear Fit 2 Grande Preto,489.0,Bom
352,Samsung Galaxy J7 2016 Metal Branco,569.0,Excelente
353,Samsung Galaxy J7 2016 Metal Branco,569.0,Muito Bom
354,Samsung Galaxy J7 2016 Metal Branco,569.0,Bom
355,Samsung Galaxy Note 8 128GB Preto,2799.0,Excelente
