,model,price,state
198,iPhone 5S 16GB Prateado,,Bom - Sem Touch ID
199,iPhone 5S 16GB Prateado,,Excelente
200,iPhone 5S 16GB Prateado,"669,00",Muito Bom
201,iPhone 5S 16GB Prateado,"619,00",Bom
202,iPhone 5S 16GB Prateado,,Bom - Sem Touch ID
203,iPhone 7 Plus 32GB Ouro Rosa,"2.869,00",Excelente
204,iPhone 7 Plus 32GB Ouro Rosa,,Muito Bom
205,iPhone 7 Plus 32GB Ouro Rosa,,Bom
206,iPhone 5S 64GB Prateado,,Excelente
207,iPhone 5S 64GB Prateado,,Muito Bom
208,iPhone 5S 64GB Prateado,,Bom
209,iPhone 5S 64GB Prateado,"879,00",Bom - Sem Touch ID
210,iPhone 8 Plus 256GB Cinza Espacial,,Excelente
211,iPhone 8 Plus 256GB Cinza Espacial,"3.999,00",Muito Bom
212,iPhone 8 Plus 256GB Cinza Espacial,,Bom
213,iPhone SE 32GB Cinza Espacial,,Excelente
214,iPhone SE 32GB Cinza Espacial,,Muito Bom
215,iPhone SE 32GB Cinza Espacial,,Bom
216,iPhone SE 32GB Cinza Espacial,,Bom - Sem Touch ID
217,iPhone SE 32GB Cinza Espacial,,Excelente
218,iPhone SE 32GB Cinza Espacial,,Muito Bom
219,iPhone SE 32GB Cinza Espacial,,Bom
220,iPhone SE 32GB Cinza Espacial,,Bom - Sem Touch ID
221,iPhone 5C 8GB Amarelo,,Excelente
222,iPhone 5C 8GB Amarelo,,Muito Bom
223,iPhone 5C 8GB Amarelo,"439,00",Bom
224,iPhone 6S Plus 64GB Prateado,"2.249,00",Excelente
225,iPhone 6S Plus 64GB Prateado,,Muito Bom
226,iPhone 6S Plus 64GB Prateado,,Bom
227,iPhone 6S Plus 64GB Prateado,"2.249,00",Bom - Sem Touch ID
228,iPhone SE 128GB Ouro Rosa,"1.469,00",Excelente
229,iPhone SE 128GB Ouro Rosa,,Muito Bom
230,iPhone SE 128GB Ouro Rosa,,Bom
231,iPhone SE 128GB Ouro Rosa,"999,00",Bom - Sem Touch ID
232,iPhone 6s 32GB Ouro Rosa,,Excelente
233,iPhone 6s 32GB Ouro Rosa,"1.659,00",Muito Bom
234,iPhone 6s 32GB Ouro Rosa,"1.539,00",Bom
235,iPhone 6s 32GB Ouro Rosa,"1.289,00",Bom - Sem Touch ID
236,Iphone 5C 32GB Azul,,Excelente
237,Iphone 5C 32GB Azul,"599,00",Muito Bom
238,Iphone 5C 32GB Azul,,Bom
